ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000010.SZ,19951027,14.08,77.1913,77.1913,,115.7763,115.7763,6.2397,6.6285,6.6285,,,5236.6608,1699.8928,1699.8928,73732.1841,23934.4906
000010.SZ,19951028,14.08,,,,115.7763,115.7763,6.2397,6.6285,6.6285,,,5236.6608,1699.8928,1699.8928,73732.1841,23934.4906
000010.SZ,19951029,14.08,,,,115.7763,115.7763,6.2397,6.6285,6.6285,,,5236.6608,1699.8928,1699.8928,73732.1841,23934.4906
000010.SZ,19951030,12.74,29.6095,29.6095,,104.7578,104.7578,5.6459,5.9977,5.9977,,,5236.6608,1699.8928,1699.8928,66715.0586,21656.6343
000010.SZ,19951031,10.5,29.5183,29.5183,,86.3389,86.3389,4.6532,4.9432,4.9432,,,5236.6608,1699.8928,1699.8928,54984.9384,17848.8744
000010.SZ,19951101,9.85,15.4157,15.4157,,80.9941,80.9941,4.3652,4.6372,4.6372,,,5236.6608,1699.8928,1699.8928,51581.1089,16743.9441
000010.SZ,19951102,10.0,7.5505,7.5505,,82.2275,82.2275,4.4316,4.7078,4.7078,,,5236.6608,1699.8928,1699.8928,52366.608,16998.928
000010.SZ,19951103,10.25,7.7523,7.7523,0.24,84.2832,84.2832,4.5424,4.8255,4.8255,,,5236.6608,1699.8928,1699.8928,53675.7732,17423.9012
000010.SZ,19951104,10.25,,,,84.2832,84.2832,4.5424,4.8255,4.8255,,,5236.6608,1699.8928,1699.8928,53675.7732,17423.9012
000010.SZ,19951105,10.25,,,,84.2832,84.2832,4.5424,4.8255,4.8255,,,5236.6608,1699.8928,1699.8928,53675.7732,17423.9012
000010.SZ,19951106,9.85,6.2233,6.2233,0.35,80.9941,80.9941,4.3652,4.6372,4.6372,,,5236.6608,1699.8928,1699.8928,51581.1089,16743.9441
000010.SZ,19951107,9.3,6.1863,6.1863,0.47,76.4716,76.4716,4.1214,4.3782,4.3782,,,5236.6608,1699.8928,1699.8928,48700.9454,15809.003
000010.SZ,19951108,8.76,7.1981,7.1981,0.83,72.0313,72.0313,3.8821,4.124,4.124,,,5236.6608,1699.8928,1699.8928,45873.1486,14891.0609
000010.SZ,19951109,8.95,3.8708,3.8708,0.55,73.5936,73.5936,3.9663,4.2135,4.2135,,,5236.6608,1699.8928,1699.8928,46868.1142,15214.0406
000010.SZ,19951110,8.85,2.1378,2.1378,0.34,72.7713,72.7713,3.922,4.1664,4.1664,,,5236.6608,1699.8928,1699.8928,46344.4481,15044.0513
000010.SZ,19951111,8.85,,,,72.7713,72.7713,3.922,4.1664,4.1664,,,5236.6608,1699.8928,1699.8928,46344.4481,15044.0513
000010.SZ,19951112,8.85,,,,72.7713,72.7713,3.922,4.1664,4.1664,,,5236.6608,1699.8928,1699.8928,46344.4481,15044.0513
000010.SZ,19951113,8.63,2.9802,2.9802,0.58,70.9623,70.9623,3.8245,4.0628,4.0628,,,5236.6608,1699.8928,1699.8928,45192.3827,14670.0749
000010.SZ,19951114,8.83,2.0831,2.0831,0.47,72.6069,72.6069,3.9131,4.157,4.157,,,5236.6608,1699.8928,1699.8928,46239.7149,15010.0534
000010.SZ,19951115,8.85,2.6025,2.6025,0.71,72.7713,72.7713,3.922,4.1664,4.1664,,,5236.6608,1699.8928,1699.8928,46344.4481,15044.0513
000010.SZ,19951116,8.74,3.4232,3.4232,1.25,71.8668,71.8668,3.8732,4.1146,4.1146,,,5236.6608,1699.8928,1699.8928,45768.4154,14857.0631
000010.SZ,19951117,8.69,2.276,2.276,0.86,71.4557,71.4557,3.8511,4.0911,4.0911,,,5236.6608,1699.8928,1699.8928,45506.5824,14772.0684
000010.SZ,19951118,8.69,,,,71.4557,71.4557,3.8511,4.0911,4.0911,,,5236.6608,1699.8928,1699.8928,45506.5824,14772.0684
000010.SZ,19951119,8.69,,,,71.4557,71.4557,3.8511,4.0911,4.0911,,,5236.6608,1699.8928,1699.8928,45506.5824,14772.0684
000010.SZ,19951120,8.69,0.8853,0.8853,0.33,71.4557,71.4557,3.8511,4.0911,4.0911,,,5236.6608,1699.8928,1699.8928,45506.5824,14772.0684
000010.SZ,19951121,8.7,1.2436,1.2436,0.55,71.5379,71.5379,3.8555,4.0958,4.0958,,,5236.6608,1699.8928,1699.8928,45558.949,14789.0674
000010.SZ,19951122,8.4,1.5272,1.5272,0.73,69.0711,69.0711,3.7226,3.9545,3.9545,,,5236.6608,1699.8928,1699.8928,43987.9507,14279.0995
000010.SZ,19951123,8.25,1.3271,1.3271,0.71,67.8377,67.8377,3.6561,3.8839,3.8839,,,5236.6608,1699.8928,1699.8928,43202.4516,14024.1156
000010.SZ,19951124,8.21,1.076,1.076,0.74,67.5088,67.5088,3.6384,3.8651,3.8651,,,5236.6608,1699.8928,1699.8928,42992.9852,13956.1199
000010.SZ,19951125,8.21,,,,67.5088,67.5088,3.6384,3.8651,3.8651,,,5236.6608,1699.8928,1699.8928,42992.9852,13956.1199
000010.SZ,19951126,8.21,,,,67.5088,67.5088,3.6384,3.8651,3.8651,,,5236.6608,1699.8928,1699.8928,42992.9852,13956.1199
000010.SZ,19951127,8.08,1.1889,1.1889,0.98,66.4398,66.4398,3.5808,3.8039,3.8039,,,5236.6608,1699.8928,1699.8928,42312.2193,13735.1338
000010.SZ,19951128,7.98,1.673,1.673,1.31,65.6175,65.6175,3.5364,3.7568,3.7568,,,5236.6608,1699.8928,1699.8928,41788.5532,13565.1445
000010.SZ,19951129,7.69,0.9401,0.9401,0.69,63.2329,63.2329,3.4079,3.6203,3.6203,,,5236.6608,1699.8928,1699.8928,40269.9216,13072.1756
000010.SZ,19951130,7.54,1.4242,1.4242,1.15,61.9995,61.9995,3.3414,3.5497,3.5497,,,5236.6608,1699.8928,1699.8928,39484.4224,12817.1917
000010.SZ,19951201,7.29,3.1067,3.1067,2.46,59.9438,59.9438,3.2307,3.432,3.432,,,5236.6608,1699.8928,1699.8928,38175.2572,12392.2185
000010.SZ,19951202,7.29,,,,59.9438,59.9438,3.2307,3.432,3.432,,,5236.6608,1699.8928,1699.8928,38175.2572,12392.2185
000010.SZ,19951203,7.29,,,,59.9438,59.9438,3.2307,3.432,3.432,,,5236.6608,1699.8928,1699.8928,38175.2572,12392.2185
000010.SZ,19951204,7.09,0.9236,0.9236,0.55,58.2993,58.2993,3.142,3.3378,3.3378,,,5236.6608,1699.8928,1699.8928,37127.9251,12052.24
000010.SZ,19951205,7.18,1.0777,1.0777,0.67,59.0393,59.0393,3.1819,3.3802,3.3802,,,5236.6608,1699.8928,1699.8928,37599.2245,12205.2303
000010.SZ,19951206,7.07,0.6771,0.6771,0.45,58.1348,58.1348,3.1332,3.3284,3.3284,,,5236.6608,1699.8928,1699.8928,37023.1919,12018.2421
000010.SZ,19951207,7.07,1.1201,1.1201,0.78,58.1348,58.1348,3.1332,3.3284,3.3284,,,5236.6608,1699.8928,1699.8928,37023.1919,12018.2421
000010.SZ,19951208,7.15,1.6395,1.6395,1.19,58.7927,58.7927,3.1686,3.3661,3.3661,,,5236.6608,1699.8928,1699.8928,37442.1247,12154.2335
000010.SZ,19951209,7.15,,,,58.7927,58.7927,3.1686,3.3661,3.3661,,,5236.6608,1699.8928,1699.8928,37442.1247,12154.2335
000010.SZ,19951210,7.15,,,,58.7927,58.7927,3.1686,3.3661,3.3661,,,5236.6608,1699.8928,1699.8928,37442.1247,12154.2335
000010.SZ,19951211,6.8,1.8083,1.8083,1.66,55.9147,55.9147,3.0135,3.2013,3.2013,,,5236.6608,1699.8928,1699.8928,35609.2934,11559.271
000010.SZ,19951212,7.0,2.3149,2.3149,1.83,57.5592,57.5592,3.1021,3.2954,3.2954,,,5236.6608,1699.8928,1699.8928,36656.6256,11899.2496
000010.SZ,19951213,6.84,1.103,1.103,0.73,56.2436,56.2436,3.0312,3.2201,3.2201,,,5236.6608,1699.8928,1699.8928,35818.7599,11627.2668
000010.SZ,19951214,6.68,0.6177,0.6177,0.39,54.928,54.928,2.9603,3.1448,3.1448,,,5236.6608,1699.8928,1699.8928,34980.8941,11355.2839
000010.SZ,19951215,6.4,1.986,1.986,1.33,52.6256,52.6256,2.8362,3.013,3.013,,,5236.6608,1699.8928,1699.8928,33514.6291,10879.3139
000010.SZ,19951216,6.4,,,,52.6256,52.6256,2.8362,3.013,3.013,,,5236.6608,1699.8928,1699.8928,33514.6291,10879.3139
000010.SZ,19951217,6.4,,,,52.6256,52.6256,2.8362,3.013,3.013,,,5236.6608,1699.8928,1699.8928,33514.6291,10879.3139
000010.SZ,19951218,6.18,1.5919,1.5919,1.02,50.8166,50.8166,2.7387,2.9094,2.9094,,,5236.6608,1699.8928,1699.8928,32362.5637,10505.3375
000010.SZ,19951219,6.18,1.4742,1.4742,0.97,50.8166,50.8166,2.7387,2.9094,2.9094,,,5236.6608,1699.8928,1699.8928,32362.5637,10505.3375
000010.SZ,19951220,6.23,1.023,1.023,0.76,51.2277,51.2277,2.7609,2.9329,2.9329,,,5236.6608,1699.8928,1699.8928,32624.3968,10590.3321
000010.SZ,19951221,6.16,1.1107,1.1107,0.83,50.6521,50.6521,2.7299,2.9,2.9,,,5236.6608,1699.8928,1699.8928,32257.8305,10471.3396
000010.SZ,19951222,6.1,0.7406,0.7406,0.52,50.1588,50.1588,2.7033,2.8717,2.8717,,,5236.6608,1699.8928,1699.8928,31943.6309,10369.3461
000010.SZ,19951223,6.1,,,,50.1588,50.1588,2.7033,2.8717,2.8717,,,5236.6608,1699.8928,1699.8928,31943.6309,10369.3461
000010.SZ,19951224,6.1,,,,50.1588,50.1588,2.7033,2.8717,2.8717,,,5236.6608,1699.8928,1699.8928,31943.6309,10369.3461
000010.SZ,19951225,5.95,1.1089,1.1089,0.93,48.9254,48.9254,2.6368,2.8011,2.8011,,,5236.6608,1699.8928,1699.8928,31158.1318,10114.3622
000010.SZ,19951226,5.93,1.1777,1.1777,1.08,48.7609,48.7609,2.628,2.7917,2.7917,,,5236.6608,1699.8928,1699.8928,31053.3985,10080.3643
000010.SZ,19951227,6.0,0.723,0.723,0.7,49.3365,49.3365,2.659,2.8247,2.8247,,,5236.6608,1699.8928,1699.8928,31419.9648,10199.3568
000010.SZ,19951228,5.88,1.0783,1.0783,1.11,48.3498,48.3498,2.6058,2.7682,2.7682,,,5236.6608,1699.8928,1699.8928,30791.5655,9995.3697
000010.SZ,19951229,5.75,1.1271,1.1271,1.17,47.2808,47.2808,2.5482,2.707,2.707,,,5236.6608,1699.8928,1699.8928,30110.7996,9774.3836
000010.SZ,19951230,5.75,,,,47.2808,47.2808,2.5482,2.707,2.707,,,5236.6608,1699.8928,1699.8928,30110.7996,9774.3836
000010.SZ,19951231,5.75,,,,47.2808,47.2808,2.5482,2.707,2.707,,,5236.6608,1699.8928,1699.8928,30110.7996,9774.3836
000010.SZ,19960101,5.75,,,,47.2808,47.2808,2.5482,2.707,2.707,,,5236.6608,1699.8928,1699.8928,30110.7996,9774.3836
000010.SZ,19960102,5.6,0.6865,0.6865,0.66,46.0474,46.0474,2.4817,2.6364,2.6364,,,5236.6608,1699.8928,1699.8928,29325.3005,9519.3997
000010.SZ,19960103,5.65,0.4494,0.4494,0.47,46.4585,46.4585,2.5039,2.6599,2.6599,,,5236.6608,1699.8928,1699.8928,29587.1335,9604.3943
000010.SZ,19960104,5.78,0.5753,0.5753,0.71,47.5275,47.5275,2.5615,2.7211,2.7211,,,5236.6608,1699.8928,1699.8928,30267.8994,9825.3804
000010.SZ,19960105,5.52,0.6971,0.6971,0.89,45.3896,45.3896,2.4463,2.5987,2.5987,,,5236.6608,1699.8928,1699.8928,28906.3676,9383.4083
000010.SZ,19960106,5.52,,,,45.3896,45.3896,2.4463,2.5987,2.5987,,,5236.6608,1699.8928,1699.8928,28906.3676,9383.4083
000010.SZ,19960107,5.52,,,,45.3896,45.3896,2.4463,2.5987,2.5987,,,5236.6608,1699.8928,1699.8928,28906.3676,9383.4083
000010.SZ,19960108,5.43,0.5571,0.5571,0.79,44.6495,44.6495,2.4064,2.5563,2.5563,,,5236.6608,1699.8928,1699.8928,28435.0681,9230.4179
000010.SZ,19960109,5.66,1.5989,1.5989,2.7,46.5408,46.5408,2.5083,2.6646,2.6646,,,5236.6608,1699.8928,1699.8928,29639.5001,9621.3932
000010.SZ,19960110,5.5,0.6859,0.6859,0.88,45.2251,45.2251,2.4374,2.5893,2.5893,,,5236.6608,1699.8928,1699.8928,28801.6344,9349.4104
000010.SZ,19960111,5.46,0.4771,0.4771,0.58,44.8962,44.8962,2.4197,2.5704,2.5704,,,5236.6608,1699.8928,1699.8928,28592.168,9281.4147
000010.SZ,19960112,5.51,0.7053,0.7053,0.88,45.3073,45.3073,2.4418,2.594,2.594,,,5236.6608,1699.8928,1699.8928,28854.001,9366.4093
000010.SZ,19960113,5.51,,,,45.3073,45.3073,2.4418,2.594,2.594,,,5236.6608,1699.8928,1699.8928,28854.001,9366.4093
000010.SZ,19960114,5.51,,,,45.3073,45.3073,2.4418,2.594,2.594,,,5236.6608,1699.8928,1699.8928,28854.001,9366.4093
000010.SZ,19960115,5.56,0.5247,0.5247,0.65,45.7185,45.7185,2.464,2.6175,2.6175,,,5236.6608,1699.8928,1699.8928,29115.834,9451.404
000010.SZ,19960116,5.59,0.4418,0.4418,0.55,45.9652,45.9652,2.4773,2.6316,2.6316,,,5236.6608,1699.8928,1699.8928,29272.9339,9502.4008
000010.SZ,19960117,5.4,0.6006,0.6006,1.06,44.4028,44.4028,2.3931,2.5422,2.5422,,,5236.6608,1699.8928,1699.8928,28277.9683,9179.4211
