,ts_code,trade_date,open,high,low,close,pre_close,vol,amount,name,total_mv,circ_mv
0,600000.SH,1999-11-10,29.5,29.8,27.0,27.75,10.0,1740851.0,4859102.435,浦发银行,6687750.0,888000.0
1,600000.SH,1999-11-11,27.58,28.38,27.53,27.71,27.75,294035.0,821582.199,浦发银行,6678110.0,886720.0
2,600000.SH,1999-11-12,27.86,28.3,27.77,28.05,27.71,150080.0,421591.623,浦发银行,6760050.0,897600.0
3,600000.SH,1999-11-15,28.2,28.25,27.7,27.75,28.05,119211.0,332952.812,浦发银行,6687750.0,888000.0
4,600000.SH,1999-11-16,27.88,27.97,26.48,26.55,27.75,232231.0,628908.296,浦发银行,6398550.0,849600.0
5,600000.SH,1999-11-17,26.5,27.18,26.37,27.18,26.55,100526.0,268995.055,浦发银行,6550380.0,869760.0
6,600000.SH,1999-11-18,27.2,27.58,26.78,27.02,27.18,84465.0,229577.879,浦发银行,6511820.0,864640.0
7,600000.SH,1999-11-19,27.5,27.53,26.8,26.88,27.02,53750.0,145887.121,浦发银行,6478080.0,860160.0
8,600000.SH,1999-11-22,26.88,26.95,26.3,26.45,26.88,55354.0,147086.153,浦发银行,6374450.0,846400.0
9,600000.SH,1999-11-23,26.45,26.55,26.1,26.45,26.45,38440.0,101224.493,浦发银行,6374450.0,846400.0
10,600000.SH,1999-11-24,26.44,26.55,26.01,26.43,26.45,40980.0,107344.461,浦发银行,6369630.0,845760.0
11,600000.SH,1999-11-25,26.3,26.66,26.02,26.4,26.43,57253.0,150528.185,浦发银行,6362400.0,844800.0
12,600000.SH,1999-11-26,26.43,26.66,26.15,26.45,26.4,22827.0,60508.935,浦发银行,6374450.0,846400.0
13,600000.SH,1999-11-29,26.45,26.83,26.22,26.33,26.45,26812.0,71099.577,浦发银行,6345530.0,842560.0
14,600000.SH,1999-11-30,26.3,26.5,26.11,26.4,26.33,23714.0,62335.742,浦发银行,6362400.0,844800.0
15,600000.SH,1999-12-01,26.31,26.9,26.21,26.6,26.4,28651.0,76287.992,浦发银行,6410600.0,851200.0
16,600000.SH,1999-12-02,26.52,26.72,26.22,26.26,26.6,19385.0,51110.241,浦发银行,6328660.0,840320.0
17,600000.SH,1999-12-03,26.25,26.65,26.2,26.36,26.26,25526.0,67291.877,浦发银行,6352760.0,843520.0
18,600000.SH,1999-12-06,26.3,26.35,25.6,25.66,26.36,69840.0,180516.074,浦发银行,6184060.0,821120.0
19,600000.SH,1999-12-07,25.6,25.85,25.5,25.6,25.66,39558.0,101467.905,浦发银行,6169600.0,819200.0
20,600000.SH,1999-12-08,25.6,25.76,25.5,25.53,25.6,22365.0,57214.358,浦发银行,6152730.0,816960.0
21,600000.SH,1999-12-09,25.5,25.55,25.3,25.36,25.53,25646.0,65136.972,浦发银行,6111760.0,811520.0
22,600000.SH,1999-12-10,25.36,26.1,25.22,25.97,25.36,35539.13,91041.273,浦发银行,6258770.0,831040.0
23,600000.SH,1999-12-13,25.98,26.45,25.6,25.92,25.97,70584.0,184655.963,浦发银行,6246720.0,829440.0
24,600000.SH,1999-12-14,25.7,26.0,25.7,26.0,25.92,16185.0,41845.145,浦发银行,6266000.0,832000.0
25,600000.SH,1999-12-15,26.0,26.9,25.9,26.45,26.0,67979.0,180407.899,浦发银行,6374450.0,846400.0
26,600000.SH,1999-12-16,26.5,26.5,25.95,26.0,26.45,36162.0,94601.476,浦发银行,6266000.0,832000.0
27,600000.SH,1999-12-17,26.0,26.13,25.51,25.58,26.0,35653.0,91807.404,浦发银行,6164780.0,818560.0
28,600000.SH,1999-12-21,25.45,25.55,25.14,25.24,25.58,42153.0,106523.995,浦发银行,6082840.0,807680.0
29,600000.SH,1999-12-22,25.24,25.35,25.05,25.15,25.24,30835.0,77614.086,浦发银行,6061150.0,804800.0
30,600000.SH,1999-12-23,25.2,25.3,24.7,24.78,25.15,41615.61,103557.903,浦发银行,5971980.0,792960.0
31,600000.SH,1999-12-24,24.6,25.07,24.59,24.75,24.78,28325.0,70142.724,浦发银行,5964750.0,792000.0
32,600000.SH,1999-12-27,24.75,25.0,24.5,24.58,24.75,22337.0,55170.0,浦发银行,5923780.0,786560.0
33,600000.SH,1999-12-28,24.54,25.08,24.5,24.6,24.58,31767.0,78430.313,浦发银行,5928600.0,787200.0
34,600000.SH,1999-12-29,24.71,24.97,24.57,24.66,24.6,22842.0,56436.027,浦发银行,5943060.0,789120.0
35,600000.SH,1999-12-30,24.9,24.99,24.65,24.75,24.66,23332.0,57888.237,浦发银行,5964750.0,792000.0
36,600000.SH,2000-01-04,24.98,25.78,24.75,25.57,24.75,44961.0,113946.783,浦发银行,6162370.0,818240.0
37,600000.SH,2000-01-05,25.57,25.98,25.15,25.28,25.57,52528.0,134465.427,浦发银行,6092480.0,808960.0
38,600000.SH,2000-01-06,25.18,26.3,25.05,25.99,25.28,62297.0,160059.798,浦发银行,6263590.0,831680.0
39,600000.SH,2000-01-07,26.3,27.5,26.12,26.9,25.99,213553.0,575751.082,浦发银行,6482900.0,860800.0
40,600000.SH,2000-01-10,27.0,27.85,26.71,27.25,26.9,165397.0,450453.518,浦发银行,6567250.0,872000.0
41,600000.SH,2000-01-11,27.25,27.3,26.12,26.2,27.25,93908.0,251055.911,浦发银行,6314200.0,838400.0
42,600000.SH,2000-01-12,26.0,26.0,24.8,25.12,26.2,352749.0,889867.34,浦发银行,6053920.0,1004800.0
43,600000.SH,2000-01-13,25.0,25.25,24.8,24.9,25.12,79756.0,199244.304,浦发银行,6000900.0,996000.0
44,600000.SH,2000-01-14,24.88,25.0,23.91,24.2,24.9,178619.0,434206.087,浦发银行,5832200.0,968000.0
45,600000.SH,2000-01-17,24.08,24.44,23.75,24.4,24.2,81015.0,194776.964,浦发银行,5880400.0,976000.0
46,600000.SH,2000-01-18,24.5,24.57,23.88,24.14,24.4,76933.0,185091.684,浦发银行,5817740.0,965600.0
47,600000.SH,2000-01-19,24.14,24.29,23.98,24.13,24.14,46584.0,112325.238,浦发银行,5815330.0,965200.0
48,600000.SH,2000-01-20,24.12,24.65,24.1,24.44,24.13,51144.0,124668.176,浦发银行,5890040.0,977600.0
49,600000.SH,2000-01-21,24.51,24.63,24.08,24.27,24.44,81387.0,197523.215,浦发银行,5849070.0,970800.0
50,600000.SH,2000-01-24,24.2,24.25,23.95,24.18,24.27,92503.0,222404.435,浦发银行,5827380.0,967200.0
51,600000.SH,2000-01-25,24.18,25.16,24.18,24.59,24.18,77423.0,191183.031,浦发银行,5926190.0,983600.0
52,600000.SH,2000-01-26,24.6,24.8,24.31,24.41,24.59,27377.0,67037.918,浦发银行,5882810.0,976400.0
53,600000.SH,2000-01-27,24.47,24.78,24.2,24.59,24.41,63350.0,154926.927,浦发银行,5926190.0,983600.0
54,600000.SH,2000-01-28,24.6,25.1,24.56,25.04,24.59,123627.0,307633.593,浦发银行,6034640.0,1001600.0
55,600000.SH,2000-02-14,26.0,27.48,25.5,27.2,25.04,237391.0,628039.0,浦发银行,6555200.0,1088000.0
56,600000.SH,2000-02-15,27.2,27.48,25.65,25.68,27.2,262677.0,693158.484,浦发银行,6188880.0,1027200.0
57,600000.SH,2000-02-16,25.5,25.55,24.91,25.2,25.68,190691.0,478863.316,浦发银行,6073200.0,1008000.0
58,600000.SH,2000-02-17,25.25,26.4,24.23,24.9,25.2,230448.0,579973.766,浦发银行,6000900.0,996000.0
59,600000.SH,2000-02-18,24.9,25.0,24.3,24.68,24.9,96935.0,237689.141,浦发银行,5947880.0,987200.0
60,600000.SH,2000-02-21,24.75,26.3,24.2,25.8,24.68,255106.0,650679.608,浦发银行,6217800.0,1032000.0
61,600000.SH,2000-02-22,25.88,26.0,24.6,24.75,25.8,105175.0,264067.019,浦发银行,5964750.0,990000.0
62,600000.SH,2000-02-23,24.6,25.25,24.5,24.6,24.75,69146.0,171007.817,浦发银行,5928600.0,984000.0
63,600000.SH,2000-02-24,24.6,25.0,24.5,24.82,24.6,46481.0,114760.607,浦发银行,5981620.0,992800.0
64,600000.SH,2000-02-25,24.9,24.97,24.5,24.6,24.82,58148.0,143173.184,浦发银行,5928600.0,984000.0
65,600000.SH,2000-02-28,24.6,25.25,24.35,25.08,24.6,93734.0,231796.184,浦发银行,6044280.0,1003200.0
66,600000.SH,2000-02-29,25.21,25.6,24.8,25.17,25.08,109559.0,275768.296,浦发银行,6065970.0,1006800.0
67,600000.SH,2000-03-01,25.2,27.1,25.17,25.82,25.17,417051.0,1096015.251,浦发银行,6222620.0,1032800.0
68,600000.SH,2000-03-02,25.78,26.0,25.1,25.42,25.82,129999.0,330633.29,浦发银行,6126220.0,1016800.0
